場,芝ダ,距離,条件1,条件2,条件3,種別,学習n,学習複勝率,学習基準,OOSn,OOS複勝率,OOS基準,学習単回収,OOS単回収
京都,芝,1800,出走頭数が14頭以下,前走着順が3着以内,馬齢が3歳以下,買い,87,56.3,24.6,53,49.1,24.0,89,107
京都,芝,1800,出走頭数が14頭以下,前走着順が3着以内,馬齢が4歳以下,買い,126,52.4,24.6,61,47.5,24.0,85,104
京都,芝,1800,出走頭数が14頭以下,前走中央場所,前走着順が3着以内,買い,106,53.8,24.6,50,48.0,24.0,82,104
京都,芝,2000,前走中央場所,前走着順が3着以内,調教師の所属が栗東,買い,156,44.2,25.4,64,39.1,26.5,80,83
京都,芝,2000,前走との間隔が中8週以上,前走着順が5着以内,調教師の所属が栗東,買い,299,41.8,25.4,123,38.2,26.5,67,73
京都,芝,2000,前走の馬体重が460kg以上,前走着順が5着以内,調教師の所属が栗東,買い,251,41.8,25.4,91,40.7,26.5,69,111
新潟,芝,1200,前走着順が5着以内,性別が牡馬・セン,調教師の所属が美浦,買い,82,48.8,18.8,19,31.6,19.0,112,130
新潟,芝,1200,前走の馬体重が460kg以上,前走着順が3着以内,馬齢が4歳以下,買い,103,43.7,18.8,22,31.8,19.0,76,109
新潟,芝,1200,前走の4コーナー通過順が4番手以内,前走着順が5着以内,性別が牡馬・セン,買い,93,44.1,18.8,21,42.9,19.0,104,39
札幌,芝,2000,出走頭数が12頭以下,前走着順が3着以内,馬齢が4歳以下,買い,93,48.4,22.2,17,58.8,22.0,95,38
札幌,芝,2000,出走頭数が14頭以下,前走着順が3着以内,馬齢が3歳以下,買い,105,46.7,22.2,28,57.1,22.0,106,45
札幌,芝,2000,出走頭数が12頭以下,出走頭数が14頭以下,前走着順が3着以内,買い,112,45.5,22.2,20,50.0,22.0,100,32
中京,芝,2200,前走との間隔が中8週以上,前走着順が3着以内,性別が牡馬・セン,買い,218,45.0,24.8,33,51.5,21.8,56,95
中京,芝,2200,前走の馬体重が460kg以上,前走着順が3着以内,馬齢が3歳以下,買い,153,46.4,24.8,22,63.6,21.8,85,88
中京,芝,2200,前走着順が3着以内,調教師の所属が栗東,馬齢が4歳以下,買い,258,43.8,24.8,40,52.5,21.8,55,84
函館,芝,1800,前走の4コーナー通過順が4番手以内,前走着順が5着以内,馬齢が3歳以下,買い,106,50.0,23.5,48,41.7,22.4,84,127
函館,芝,1800,前走着順が3着以内,馬齢が3歳以下,,買い,116,49.1,23.5,53,43.4,22.4,64,113
函館,芝,1800,前走との間隔が中4週以内,前走着順が3着以内,馬齢が4歳以下,買い,114,49.1,23.5,39,41.0,22.4,42,59
阪神,芝,1200,前走中央場所,前走着順が3着以内,,買い,89,51.7,23.1,32,56.2,23.6,55,74
阪神,芝,1200,前走中央場所,前走着順が5着以内,馬齢が4歳以下,買い,106,47.2,23.1,46,52.2,23.6,53,103
阪神,芝,1200,前走中央場所,前走着順が5着以内,性別が牡馬・セン,買い,81,48.1,23.1,24,58.3,23.6,45,59
阪神,ダート,2000,前走との間隔が中4週以内,前走着順が3着以内,,買い,159,49.1,24.2,20,50.0,22.1,83,139
阪神,ダート,2000,前走の馬体重が460kg以上,前走着順が3着以内,馬齢が3歳以下,買い,89,52.8,24.2,17,52.9,22.1,76,25
阪神,ダート,2000,前走着順が3着以内,馬齢が3歳以下,馬齢が4歳以下,買い,97,51.5,24.2,17,52.9,22.1,74,25
札幌,芝,1500,前走着順が3着以内,枠番が6~8枠,調教師の所属が美浦,買い,55,60.0,24.0,20,50.0,26.0,73,114
札幌,芝,1500,前走着順が3着以内,調教師の所属が美浦,馬齢が4歳以下,買い,82,53.7,24.0,27,59.3,26.0,59,92
札幌,芝,1500,前走着順が3着以内,前走着順が5着以内,調教師の所属が美浦,買い,87,52.9,24.0,31,54.8,26.0,56,97
京都,ダート,1900,前走の馬体重が460kg以上,前走着順が3着以内,馬齢が3歳以下,買い,75,50.7,22.9,75,42.7,23.3,82,79
京都,ダート,1900,前走着順が3着以内,馬齢が3歳以下,馬齢が4歳以下,買い,93,48.4,22.9,82,40.2,23.3,73,102
京都,ダート,1900,前走着順が3着以内,前走着順が5着以内,馬齢が3歳以下,買い,93,48.4,22.9,82,40.2,23.3,73,102
小倉,芝,2860,前走との間隔が中8週以上,前走着順が3着以内,性別が牡馬・セン,買い,153,62.7,28.3,18,50.0,28.4,92,49
小倉,芝,2860,前走との間隔が中8週以上,前走の4コーナー通過順が4番手以内,前走着順が3着以内,買い,143,61.5,28.3,16,43.8,28.4,88,82
小倉,芝,2860,前走との間隔が中8週以上,前走着順が3着以内,馬齢が5歳以上,買い,136,61.8,28.3,18,50.0,28.4,86,82
